Text,clean_text,Sentiment
"Having tried a couple of other brands of gluten-free sandwich cookies, these are the best of the bunch.  They're crunchy and true to the texture of the other ""real"" cookies that aren't gluten-free.  Some might think that the filling makes them a bit too sweet, but for me that just means I've satisfied my sweet tooth sooner!  The chocolate version from Glutino is just as good and has a true ""chocolatey"" taste - something that isn't there with the other gluten-free brands out there.",tried couple brands gluten free sandwich cookies best bunch crunchy true texture real cookies gluten free might think filling makes bit sweet means satisfied sweet tooth sooner chocolate version glutino good true chocolatey taste something gluten free brands,Positive
"My cat loves these treats. If ever I can't find her in the house, I just pop the top and she bolts out of wherever she was hiding to come get a treat. She doesn't like crunchy treats much, so these are perfect for her. I've given her all three flavors and she seems to like them all equally. They do tend to dry out by the time I near the end of the bottle, however. The flip-top lid is very handy. Very nice, inexpensive kitty treats. I have yet to meet a cat that doesn't just love these!",cat loves treats ever find house pop top bolts wherever hiding come get treat like crunchy treats much perfect given three flavors seems like equally tend dry time near end bottle however flip top lid handy nice inexpensive kitty treats yet meet cat love,Positive
A little less than I expected.  It tends to have a muddy taste - not what I expected since they said it was the favorite of the company.,little less expected tends muddy taste expected since said favorite company,Positive
"First there was Frosted Mini-Wheats, in original size, then there was Frosted Mini-Wheats Bite Size. Well, if for some reason those were too much of a mouthful, we now have Frosted Mini-Wheats Little Bits. Yes, these are about half the size of the Bite Size versions. This particular one is ""Cinnamon Roll"".<br /><br />There is nothing new to the table here with the exception of size, which I is unnecessary. Personally, I like original flavor and size the best. But the Bite Size edition were accommodating. These come off as a desperate attempt to give attention to a brand that needs some sort of life put back into it and all they came up with was making them smaller and having a new flavor, which is actually too sweet for me.<br /><br />A serving size is approximately 47 biscuits. Thats 1 gram of polyunsaturated fat, 46 grams of carbohydrates, 6g fiber, 12g of sugar, 5g of protein and 200mg of potassium. Generally they look good but I guess those that are watching their carb intake might want to be careful.<br /><br />These probably fit on a spoon better than its predecessors in a bowl of milk, but I like the other kinds cause they snack better without the milk. But here, these small ones are easily to snack more than you should.<br /><br />I am grading this product 2 stars for 3 reasons 1) I dont think making them smaller has any reason for existing outside of Kellogs filling the shelves with more versions of something that was fine to begin with. 2) This flavor, Cinnamon Roll, is sweet and has a synthetic taste to it. 3) On the plus side, I like Mini-Wheats in general, so it saved it from being one star.",first frosted mini wheats original size frosted mini wheats bite size well reason much mouthful frosted mini wheats little bits yes half size bite size versions particular one cinnamon roll br br nothing new table exception size unnecessary personally like original flavor size best bite size edition accommodating come desperate attempt give attention brand needs sort life put back came making smaller new flavor actually sweet br br serving size approximately biscuits thats gram polyunsaturated fat grams carbohydrates g fiber g sugar g protein mg potassium generally look good guess watching carb intake might want careful br br probably fit spoon better predecessors bowl milk like kinds cause snack better without milk small ones easily snack br br grading product stars reasons dont think making smaller reason existing outside kellogs filling shelves versions something fine begin flavor cinnamon roll sweet synthetic taste plus side like mini wheats general saved one star,Positive
"and I want to congratulate the graphic artist for putting the entire product name on such a small box.  The ad men must have really thought long and hard.<br /><br />But seriously, I love the product. The taste was refreshing and I thought that the taste was pleasing with no aftertaste.  Not too sweet and Goldilocks would have stopped right there if there was a choice of 3.  Easy to use as you just pour the contents into a 16 oz bottle of water and shake.  Mixed well, no granulation, you really couldn't ask for anything more and Lipton like a good drug dealer knows what they are doing, give me a taste for free and have me for life.  5 stars.",want congratulate graphic artist putting entire product name small box ad men must really thought long hard br br seriously love product taste refreshing thought taste pleasing aftertaste sweet goldilocks would stopped right choice easy use pour contents oz bottle water shake mixed well granulation really ask anything lipton like good drug dealer knows give taste free life stars,Positive
"Please add more Pineapple flavor to your packages of lifesavers, in fact, can you sell pineapple flavor by itself?",please add pineapple flavor packages lifesavers fact sell pineapple flavor,Positive
I absolutely love Yorkshire tea and am so glad it is now available on Amazon!  A cup of this full-bodied black tea with milk in the morning is how I start each day and just love it!,absolutely love yorkshire tea glad available amazon cup full bodied black tea milk morning start day love,Positive
I have such a hard time finding loose tea locally. Being able to order my favorite Lady Grey tea on Amazon is convenient and timesaving. The tea comes in a six-pack of tins that are just the right size to insure continued freshness. Speedy shipping too!,hard time finding loose tea locally able order favorite lady grey tea amazon convenient timesaving tea comes six pack tins right size insure continued freshness speedy shipping,Positive
"Previously, I've attempted a recipe with white rice noodles and overcooked them, which made them soggy. So I was determined not to overcook these brown rice noodles. I tried making two dishes. The first was a miso soup with brown rice noodles, which was really just broth with miso and green onions and the noodles added when it was hot. The noodles softened and puffed up, but I think I should of softened them in water and maybe rinsed them first. The broth ended up being a little starchy from the noodles, but it was pretty good.<br /><br />The noodles by themselves don't really have any flavor, they just take on the flavor of whatever dish they are in. So the rice noodles in miso probably wasn't the best idea because the mild miso flavor didn't really give the noodles much flavor. I also tried stir frying the noodles which was much better. I just soaked the noodles in hot water, for about a minute, and then drained them. They came out clear and kind of crunchy. Then I stir fried them with garlic, onion, salt, and coconut oil. I also added some vinegar and nama shoyu for flavor. These noodles came out crunchy and spicy and actually were pretty good.<br /><br />The nice thing about these noodles is they only need about a minute in warm water and then they can be fried or added to soups or other dishes, so they are fairly versatile. They are also gluten free and the brown rice noodles seem more firm than the white rice noodles. As another reviewer posted it does look like these noodles are made in Singapore.",previously attempted recipe white rice noodles overcooked made soggy determined overcook brown rice noodles tried making two dishes first miso soup brown rice noodles really broth miso green onions noodles added hot noodles softened puffed think softened water maybe rinsed first broth ended little starchy noodles pretty good br br noodles really flavor take flavor whatever dish rice noodles miso probably best idea mild miso flavor really give noodles much flavor also tried stir frying noodles much better soaked noodles hot water minute drained came clear kind crunchy stir fried garlic onion salt coconut oil also added vinegar nama shoyu flavor noodles came crunchy spicy actually pretty good br br nice thing noodles need minute warm water fried added soups dishes fairly versatile also gluten free brown rice noodles seem firm white rice noodles another reviewer posted look like noodles made singapore,Positive
"I make pancakes or waffles every Saturday morning with my kids, and there simply is no comparison between this product and any other baking powder I have come across. Even the more expensive brands from Trader Joe's or Whole Foods pale in comparison. Batter comes out light and fluffy every time, and my kids love them. I have also been known to eat a pancake or two. Get the pack of 6 and store up.",make pancakes waffles every saturday morning kids simply comparison product baking powder come across even expensive brands trader joe whole foods pale comparison batter comes light fluffy every time kids love also known eat pancake two get pack store,Positive
